name,threads,n,run,duration
cpp11-pi,1,1,1,0.001086
openMP-pi,1,1,1,0.01128
mpi-pi,1,1,1,0.00092085
mpi-pi++,1,1,1,0.00108408
cpp11-pi,1,1,2,0.001067
openMP-pi,1,1,2,0.001916
mpi-pi,1,1,2,0.00089268
mpi-pi++,1,1,2,0.000930585
cpp11-pi,1,1,3,0.003184
openMP-pi,1,1,3,0.012234
mpi-pi,1,1,3,0.00090269
mpi-pi++,1,1,3,0.000909066
cpp11-pi,1,1,4,0.003295
openMP-pi,1,1,4,0.013365
mpi-pi,1,1,4,0.00090341
mpi-pi++,1,1,4,0.000887244
cpp11-pi,1,1,5,0.003378
openMP-pi,1,1,5,0.012741
mpi-pi,1,1,5,0.00092606
mpi-pi++,1,1,5,0.000864826
cpp11-pi,1,1,6,0.003487
openMP-pi,1,1,6,0.010051
mpi-pi,1,1,6,0.00090347
mpi-pi++,1,1,6,0.000882442
cpp11-pi,1,1,7,0.003308
openMP-pi,1,1,7,0.011258
mpi-pi,1,1,7,0.00090428
mpi-pi++,1,1,7,0.000863728
cpp11-pi,1,1,8,0.003348
openMP-pi,1,1,8,0.011291
mpi-pi,1,1,8,0.00092300
mpi-pi++,1,1,8,0.000862349
cpp11-pi,1,1,9,0.003424
openMP-pi,1,1,9,0.011857
mpi-pi,1,1,9,0.00088914
mpi-pi++,1,1,9,0.000883059
cpp11-pi,1,1,10,0.003373
openMP-pi,1,1,10,0.010285
mpi-pi,1,1,10,0.00088972
mpi-pi++,1,1,10,0.000882907
cpp11-pi,2,1,1,0.000576
openMP-pi,2,1,1,0.001417
mpi-pi,2,1,1,0.01053407
mpi-pi++,2,1,1,0.0104466
cpp11-pi,2,1,2,0.00062
openMP-pi,2,1,2,0.000962
mpi-pi,2,1,2,0.01043600
mpi-pi++,2,1,2,0.000523662
cpp11-pi,2,1,3,0.000571
openMP-pi,2,1,3,0.001193
mpi-pi,2,1,3,0.01046793
mpi-pi++,2,1,3,0.0105027
cpp11-pi,2,1,4,0.001705
openMP-pi,2,1,4,0.011485
mpi-pi,2,1,4,0.01066875
mpi-pi++,2,1,4,0.000546151
cpp11-pi,2,1,5,0.000577
openMP-pi,2,1,5,0.001266
mpi-pi,2,1,5,0.01046001
mpi-pi++,2,1,5,0.0104563
cpp11-pi,2,1,6,0.000917
openMP-pi,2,1,6,0.002136
mpi-pi,2,1,6,0.01055567
mpi-pi++,2,1,6,0.0105085
cpp11-pi,2,1,7,0.000498
openMP-pi,2,1,7,0.001408
mpi-pi,2,1,7,0.01044142
mpi-pi++,2,1,7,0.000550963
cpp11-pi,2,1,8,0.000543
openMP-pi,2,1,8,0.001262
mpi-pi,2,1,8,0.01048771
mpi-pi++,2,1,8,0.0104378
cpp11-pi,2,1,9,0.000565
openMP-pi,2,1,9,0.00139
mpi-pi,2,1,9,0.01050932
mpi-pi++,2,1,9,0.0104878
cpp11-pi,2,1,10,0.000569
openMP-pi,2,1,10,0.001217
mpi-pi,2,1,10,0.01046900
mpi-pi++,2,1,10,0.0104707
cpp11-pi,4,1,1,0.000412
openMP-pi,4,1,1,0.000832
mpi-pi,4,1,1,0.02045208
mpi-pi++,4,1,1,0.0204918
cpp11-pi,4,1,2,0.000362
openMP-pi,4,1,2,0.00091
mpi-pi,4,1,2,0.02037269
mpi-pi++,4,1,2,0.0206013
cpp11-pi,4,1,3,0.000366
