name,threads,n,run,duration
cpp11-pi,1,1,1,0.00207
openMP-pi,1,1,1,0.009603
mpi-pi,1,1,1,0.00215881
mpi-pi++,1,1,1,0.00197429
cpp11-pi,1,1,2,0.002182
openMP-pi,1,1,2,0.003105
mpi-pi,1,1,2,0.00204657
mpi-pi++,1,1,2,0.00215448
cpp11-pi,1,1,3,0.002237
openMP-pi,1,1,3,0.00322
mpi-pi,1,1,3,0.00197011
mpi-pi++,1,1,3,0.00199954
cpp11-pi,1,1,4,0.007158
openMP-pi,1,1,4,0.013801
mpi-pi,1,1,4,0.00197396
mpi-pi++,1,1,4,0.00196975
cpp11-pi,1,1,5,0.002181
openMP-pi,1,1,5,0.005336
mpi-pi,1,1,5,0.00197189
mpi-pi++,1,1,5,0.00200603
cpp11-pi,1,1,6,0.007195
openMP-pi,1,1,6,0.012836
mpi-pi,1,1,6,0.00196439
mpi-pi++,1,1,6,0.00194214
cpp11-pi,1,1,7,0.002109
openMP-pi,1,1,7,0.003348
mpi-pi,1,1,7,0.00198658
mpi-pi++,1,1,7,0.00198208
cpp11-pi,1,1,8,0.006635
openMP-pi,1,1,8,0.007497
mpi-pi,1,1,8,0.00210265
mpi-pi++,1,1,8,0.00197861
cpp11-pi,1,1,9,0.002038
openMP-pi,1,1,9,0.002971
mpi-pi,1,1,9,0.00194786
mpi-pi++,1,1,9,0.00194544
cpp11-pi,1,1,10,0.006605
openMP-pi,1,1,10,0.009721
mpi-pi,1,1,10,0.00195736
mpi-pi++,1,1,10,0.00197203
cpp11-pi,2,1,1,0.003976
openMP-pi,2,1,1,0.019026
mpi-pi,2,1,1,0.01113361
mpi-pi++,2,1,1,0.011024
cpp11-pi,2,1,2,0.001161
openMP-pi,2,1,2,0.002244
mpi-pi,2,1,2,0.01101714
mpi-pi++,2,1,2,0.011029
cpp11-pi,2,1,3,0.001113
openMP-pi,2,1,3,0.001797
mpi-pi,2,1,3,0.01102215
mpi-pi++,2,1,3,0.00108091
cpp11-pi,2,1,4,0.003561
openMP-pi,2,1,4,0.012746
mpi-pi,2,1,4,0.01103141
mpi-pi++,2,1,4,0.0110335
cpp11-pi,2,1,5,0.001133
openMP-pi,2,1,5,0.002222
mpi-pi,2,1,5,0.01101527
mpi-pi++,2,1,5,0.0109536
cpp11-pi,2,1,6,0.001166
openMP-pi,2,1,6,0.001876
mpi-pi,2,1,6,0.01109661
mpi-pi++,2,1,6,0.0109559
cpp11-pi,2,1,7,0.001131
openMP-pi,2,1,7,0.002318
mpi-pi,2,1,7,0.00109834
mpi-pi++,2,1,7,0.0110726
cpp11-pi,2,1,8,0.001157
openMP-pi,2,1,8,0.00192
mpi-pi,2,1,8,0.01124672
mpi-pi++,2,1,8,0.0110878
cpp11-pi,2,1,9,0.001098
openMP-pi,2,1,9,0.00172
mpi-pi,2,1,9,0.01106551
mpi-pi++,2,1,9,0.0109725
cpp11-pi,2,1,10,0.003877
openMP-pi,2,1,10,0.006135
mpi-pi,2,1,10,0.01109857
mpi-pi++,2,1,10,0.0110769
cpp11-pi,4,1,1,0.000714
openMP-pi,4,1,1,0.00139
mpi-pi,4,1,1,0.02048688
mpi-pi++,4,1,1,0.0105728
cpp11-pi,4,1,2,0.000646
openMP-pi,4,1,2,0.001638
mpi-pi,4,1,2,0.02067401
mpi-pi++,4,1,2,0.0205835
cpp11-pi,4,1,3,0.000662
openMP-pi,4,1,3,0.001232
mpi-pi,4,1,3,0.02072597
mpi-pi++,4,1,3,0.0207037
cpp11-pi,4,1,4,0.000623
openMP-pi,4,1,4,0.001501
mpi-pi,4,1,4,0.01067661
mpi-pi++,4,1,4,0.0206069
cpp11-pi,4,1,5,0.000712
openMP-pi,4,1,5,0.001312
mpi-pi,4,1,5,0.01068886
mpi-pi++,4,1,5,0.020681
cpp11-pi,4,1,6,0.000656
openMP-pi,4,1,6,0.001416
mpi-pi,4,1,6,0.02060098
mpi-pi++,4,1,6,0.020612
cpp11-pi,4,1,7,0.000802
openMP-pi,4,1,7,0.001573
mpi-pi,4,1,7,0.02073146
mpi-pi++,4,1,7,0.0206571
cpp11-pi,4,1,8,0.000686
openMP-pi,4,1,8,0.001746
mpi-pi,4,1,8,0.02064318
mpi-pi++,4,1,8,0.02063
cpp11-pi,4,1,9,0.000633
openMP-pi,4,1,9,0.001475
mpi-pi,4,1,9,0.02071581
mpi-pi++,4,1,9,0.0107009
cpp11-pi,4,1,10,0.000613
openMP-pi,4,1,10,0.001443
mpi-pi,4,1,10,0.02074792
mpi-pi++,4,1,10,0.0207041
cpp11-pi,8,1,1,0.000463
openMP-pi,8,1,1,0.001171
mpi-pi,8,1,1,0.03049138
mpi-pi++,8,1,1,0.0303971
cpp11-pi,8,1,2,0.000518
openMP-pi,8,1,2,0.001052
mpi-pi,8,1,2,0.03048997
mpi-pi++,8,1,2,0.0305097
cpp11-pi,8,1,3,0.000489
openMP-pi,8,1,3,0.001146
mpi-pi,8,1,3,0.03040949
mpi-pi++,8,1,3,0.0303738
cpp11-pi,8,1,4,0.000446
openMP-pi,8,1,4,0.001152
mpi-pi,8,1,4,0.03031578
mpi-pi++,8,1,4,0.0304527
cpp11-pi,8,1,5,0.000478
openMP-pi,8,1,5,0.001032
mpi-pi,8,1,5,0.03042652
mpi-pi++,8,1,5,0.0303202
cpp11-pi,8,1,6,0.00046
openMP-pi,8,1,6,0.001205
mpi-pi,8,1,6,0.03027130
mpi-pi++,8,1,6,0.0302982
cpp11-pi,8,1,7,0.000422
openMP-pi,8,1,7,0.001096
mpi-pi,8,1,7,0.03034490
mpi-pi++,8,1,7,0.0304065
cpp11-pi,8,1,8,0.000441
openMP-pi,8,1,8,0.001117
mpi-pi,8,1,8,0.03056043
mpi-pi++,8,1,8,0.0304098
cpp11-pi,8,1,9,0.00041
openMP-pi,8,1,9,0.001094
mpi-pi,8,1,9,0.02044027
