name,threads,n,duration
cpp11-pi,32,1,0.001573
openMP-pi,32,1,0.001583
mpi-pi,32,1,0.00038732
mpi-pi++,32,1,0.000595541
cpp11-pi,32,2,0.001365
openMP-pi,32,2,0.001284
mpi-pi,32,2,0.00054925
mpi-pi++,32,2,0.000753889
cpp11-pi,32,4,0.003201
openMP-pi,32,4,0.001852
mpi-pi,32,4,0.00078604
mpi-pi++,32,4,0.000974202
cpp11-pi,32,8,0.003155
openMP-pi,32,8,0.002411
mpi-pi,32,8,0.00154010
mpi-pi++,32,8,0.00168229
cpp11-pi,32,16,0.003881
openMP-pi,32,16,0.004411
mpi-pi,32,16,0.00252989
mpi-pi++,32,16,0.00203251
cpp11-pi,32,32,0.006529
openMP-pi,32,32,0.005543
mpi-pi,32,32,0.00490973
mpi-pi++,32,32,0.00510075
cpp11-pi,32,64,0.008956
openMP-pi,32,64,0.00918
mpi-pi,32,64,0.00961737
mpi-pi++,32,64,0.0117657
cpp11-pi,32,128,0.014821
openMP-pi,32,128,0.014385
mpi-pi,32,128,0.01409244
mpi-pi++,32,128,0.0138088
cpp11-pi,32,256,0.027963
openMP-pi,32,256,0.02777
mpi-pi,32,256,0.02704843
mpi-pi++,32,256,0.0288999
cpp11-pi,32,512,0.054056
openMP-pi,32,512,0.054575
mpi-pi,32,512,0.05348196
mpi-pi++,32,512,0.0550113
cpp11-pi,32,1024,0.104496
openMP-pi,32,1024,0.105721
mpi-pi,32,1024,0.11055893
mpi-pi++,32,1024,0.102166
cpp11-pi,32,2048,0.20609
openMP-pi,32,2048,0.178623
mpi-pi,32,2048,0.16072698
mpi-pi++,32,2048,0.17217
cpp11-pi,32,4096,0.342361
openMP-pi,32,4096,0.34437
mpi-pi,32,4096,0.31772430
mpi-pi++,32,4096,0.34508
cpp11-pi,32,8192,0.681668
openMP-pi,32,8192,0.685716
mpi-pi,32,8192,0.63152634
mpi-pi++,32,8192,0.680468
cpp11-pi,32,16384,1.36089
openMP-pi,32,16384,1.36918
mpi-pi,32,16384,1.27377307
mpi-pi++,32,16384,1.36087
cpp11-pi,32,1,0.001786
openMP-pi,32,1,0.001413
mpi-pi,32,1,0.00051624
mpi-pi++,32,1,0.00032326
cpp11-pi,32,2,0.001908
openMP-pi,32,2,0.001849
mpi-pi,32,2,0.00060210
mpi-pi++,32,2,0.00077334
cpp11-pi,32,4,0.001443
openMP-pi,32,4,0.001775
mpi-pi,32,4,0.00090163
mpi-pi++,32,4,0.000893861
cpp11-pi,32,8,0.002353
openMP-pi,32,8,0.002207
mpi-pi,32,8,0.00133045
mpi-pi++,32,8,0.00156126
cpp11-pi,32,16,0.00412
openMP-pi,32,16,0.003436
mpi-pi,32,16,0.00258181
mpi-pi++,32,16,0.00307674
cpp11-pi,32,32,0.005797
openMP-pi,32,32,0.005504
mpi-pi,32,32,0.00408119
mpi-pi++,32,32,0.00507192
cpp11-pi,32,64,0.008696
openMP-pi,32,64,0.009037
mpi-pi,32,64,0.00936431
mpi-pi++,32,64,0.00877746
cpp11-pi,32,128,0.015459
openMP-pi,32,128,0.015397
mpi-pi,32,128,0.01553480
mpi-pi++,32,128,0.0162977
cpp11-pi,32,256,0.028171
openMP-pi,32,256,0.02818
mpi-pi,32,256,0.02448824
mpi-pi++,32,256,0.0384982
cpp11-pi,32,512,0.053392
openMP-pi,32,512,0.05419
mpi-pi,32,512,0.04888888
mpi-pi++,32,512,0.0634202
cpp11-pi,32,1024,0.104286
openMP-pi,32,1024,0.105327
mpi-pi,32,1024,0.10743226
mpi-pi++,32,1024,0.11327
cpp11-pi,32,2048,0.200046
openMP-pi,32,2048,0.176025
mpi-pi,32,2048,0.15869608
mpi-pi++,32,2048,0.17007
cpp11-pi,32,4096,0.341813
openMP-pi,32,4096,0.344558
mpi-pi,32,4096,0.31584007
mpi-pi++,32,4096,0.34396
cpp11-pi,32,8192,0.681204
openMP-pi,32,8192,0.685645
mpi-pi,32,8192,0.65627066
mpi-pi++,32,8192,0.679088
cpp11-pi,32,16384,1.35933
openMP-pi,32,16384,1.36789
mpi-pi,32,16384,1.26096598
mpi-pi++,32,16384,1.36621
cpp11-pi,32,1,0.001689
openMP-pi,32,1,0.001098
mpi-pi,32,1,0.00058558
mpi-pi++,32,1,0.000319955
cpp11-pi,32,2,0.001724
openMP-pi,32,2,0.001351
mpi-pi,32,2,0.00057627
mpi-pi++,32,2,0.000793296
cpp11-pi,32,4,0.001825
openMP-pi,32,4,0.001877
mpi-pi,32,4,0.00107757
mpi-pi++,32,4,0.000838567
cpp11-pi,32,8,0.002293
openMP-pi,32,8,0.00257
mpi-pi,32,8,0.00140805
mpi-pi++,32,8,0.00128664
cpp11-pi,32,16,0.004101
openMP-pi,32,16,0.003713
mpi-pi,32,16,0.00214669
mpi-pi++,32,16,0.00293537
cpp11-pi,32,32,0.005608
openMP-pi,32,32,0.005796
mpi-pi,32,32,0.00501621
mpi-pi++,32,32,0.00518919
cpp11-pi,32,64,0.009013
openMP-pi,32,64,0.009273
mpi-pi,32,64,0.00970523
mpi-pi++,32,64,0.00884505
cpp11-pi,32,128,0.015078
openMP-pi,32,128,0.015876
mpi-pi,32,128,0.01433666
mpi-pi++,32,128,0.0166102
cpp11-pi,32,256,0.029397
openMP-pi,32,256,0.027913
mpi-pi,32,256,0.02437376
mpi-pi++,32,256,0.0386783
cpp11-pi,32,512,0.053324
openMP-pi,32,512,0.0528
mpi-pi,32,512,0.05357873
mpi-pi++,32,512,0.056412
cpp11-pi,32,1024,0.104788
openMP-pi,32,1024,0.105567
mpi-pi,32,1024,0.09676193
mpi-pi++,32,1024,0.108468
cpp11-pi,32,2048,0.205378
openMP-pi,32,2048,0.17746
mpi-pi,32,2048,0.16911339
mpi-pi++,32,2048,0.192731
cpp11-pi,32,4096,0.342639
openMP-pi,32,4096,0.343339
mpi-pi,32,4096,0.31657891
mpi-pi++,32,4096,0.341718
cpp11-pi,32,8192,0.681381
openMP-pi,32,8192,0.6863
mpi-pi,32,8192,0.63801309
mpi-pi++,32,8192,0.680112
cpp11-pi,32,16384,1.36134
openMP-pi,32,16384,1.36982
mpi-pi,32,16384,1.27363784
mpi-pi++,32,16384,1.38672
cpp11-pi,32,1,0.001178
openMP-pi,32,1,0.001107
mpi-pi,32,1,0.00042022
mpi-pi++,32,1,0.000379249
cpp11-pi,32,2,0.002093
openMP-pi,32,2,0.001418
mpi-pi,32,2,0.00081911
mpi-pi++,32,2,0.000616377
cpp11-pi,32,4,0.001748
openMP-pi,32,4,0.001839
mpi-pi,32,4,0.00099715
mpi-pi++,32,4,0.000905759
cpp11-pi,32,8,0.00237
openMP-pi,32,8,0.00252
mpi-pi,32,8,0.00191317
mpi-pi++,32,8,0.00166879
cpp11-pi,32,16,0.003571
openMP-pi,32,16,0.003739
mpi-pi,32,16,0.00230878
mpi-pi++,32,16,0.00272909
cpp11-pi,32,32,0.006375
openMP-pi,32,32,0.006154
mpi-pi,32,32,0.00475881
mpi-pi++,32,32,0.00516553
cpp11-pi,32,64,0.009121
openMP-pi,32,64,0.008528
mpi-pi,32,64,0.00656707
mpi-pi++,32,64,0.00921623
cpp11-pi,32,128,0.01543
openMP-pi,32,128,0.015339
mpi-pi,32,128,0.01247952
mpi-pi++,32,128,0.0195025
cpp11-pi,32,256,0.028868
openMP-pi,32,256,0.027099
mpi-pi,32,256,0.03084006
mpi-pi++,32,256,0.0259015
cpp11-pi,32,512,0.053493
openMP-pi,32,512,0.053704
mpi-pi,32,512,0.06229306
mpi-pi++,32,512,0.0560106
cpp11-pi,32,1024,0.104612
openMP-pi,32,1024,0.105224
mpi-pi,32,1024,0.09494992
mpi-pi++,32,1024,0.107291
cpp11-pi,32,2048,0.205835
openMP-pi,32,2048,0.173668
mpi-pi,32,2048,0.16698708
mpi-pi++,32,2048,0.17545
cpp11-pi,32,4096,0.342252
openMP-pi,32,4096,0.343966
mpi-pi,32,4096,0.31708570
mpi-pi++,32,4096,0.363499
cpp11-pi,32,8192,0.682559
openMP-pi,32,8192,0.686394
mpi-pi,32,8192,0.63538570
mpi-pi++,32,8192,0.690322
cpp11-pi,32,16384,1.36101
openMP-pi,32,16384,1.37021
mpi-pi,32,16384,1.28782680
mpi-pi++,32,16384,1.36123
cpp11-pi,32,1,0.002394
openMP-pi,32,1,0.034079
mpi-pi,32,1,0.00080328
mpi-pi++,32,1,0.00104148
cpp11-pi,32,2,0.002309
openMP-pi,32,2,0.01441
mpi-pi,32,2,0.00054975
mpi-pi++,32,2,0.0013707
cpp11-pi,32,4,0.002518
openMP-pi,32,4,0.012413
mpi-pi,32,4,0.00102391
mpi-pi++,32,4,0.00123394
cpp11-pi,32,8,0.004052
openMP-pi,32,8,0.011952
mpi-pi,32,8,0.00198346
mpi-pi++,32,8,0.00176454
cpp11-pi,32,16,0.006052
openMP-pi,32,16,0.025919
mpi-pi,32,16,0.00315194
mpi-pi++,32,16,0.0028708
cpp11-pi,32,32,0.009432
openMP-pi,32,32,0.031619
mpi-pi,32,32,0.00561099
mpi-pi++,32,32,0.00511065
cpp11-pi,32,64,0.013525
openMP-pi,32,64,0.016358
mpi-pi,32,64,0.00930328
mpi-pi++,32,64,0.0100249
cpp11-pi,32,128,0.022732
openMP-pi,32,128,0.043664
mpi-pi,32,128,0.01681811
mpi-pi++,32,128,0.0185354
cpp11-pi,32,256,0.029441
openMP-pi,32,256,0.038986
mpi-pi,32,256,0.02631093
mpi-pi++,32,256,0.0451101
cpp11-pi,32,512,0.054138
openMP-pi,32,512,0.071046
mpi-pi,32,512,0.04868838
mpi-pi++,32,512,0.0648932
cpp11-pi,32,1024,0.105208
openMP-pi,32,1024,0.106141
mpi-pi,32,1024,0.09864265
mpi-pi++,32,1024,0.112486
cpp11-pi,32,2048,0.231043
openMP-pi,32,2048,0.240872
mpi-pi,32,2048,0.17553838
mpi-pi++,32,2048,0.183329
cpp11-pi,32,4096,0.385848
openMP-pi,32,4096,0.718296
mpi-pi,32,4096,0.31659229
mpi-pi++,32,4096,0.446328
