implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
radix-sort,sort16K.data,26,0,1,1,1,1,16384,2000,2000,0.000957422,0,0,0.00040011,0,0,0,0.003598842,0,0.005128259
sort-unstable,sort16K.data,26,0,1,1,1,1,16384,2000,2000,0.00095117,0,0,0.000630721,0,0,0,0.000967733,0,0.00275001
radix-sort,sort16K.data,26,1,1,1,1,1,16384,2000,2000,0.00087381,0,0,0.000423763,0,0,0,0.003464562,0,0.004939724
sort-unstable,sort16K.data,26,1,1,1,1,1,16384,2000,2000,0.000875787,0,0,0.000660306,0,0,0,0.000989344,0,0.002729165
radix-sort,sort16K.data,26,2,1,1,1,1,16384,2000,2000,0.000896371,0,0,0.00041528,0,0,0,0.003547148,0,0.005035238
sort-unstable,sort16K.data,26,2,1,1,1,1,16384,2000,2000,0.000893275,0,0,0.000619722,0,0,0,0.000987009,0,0.002694057
radix-sort,sort16K.data,26,3,1,1,1,1,16384,2000,2000,0.000862117,0,0,0.000413824,0,0,0,0.003523996,0,0.004974871
sort-unstable,sort16K.data,26,3,1,1,1,1,16384,2000,2000,0.000890243,0,0,0.000631592,0,0,0,0.001010514,0,0.002726382
radix-sort,sort1K.data,0,0,1,1,1,1,1024,2000,2000,0.000088477,0,0,0.000094939,0,0,0,0.000478433,0,0.000745228
sort-unstable,sort1K.data,0,0,1,1,1,1,1024,2000,2000,0.000091594,0,0,0.000096916,0,0,0,0.000048126,0,0.00029048
radix-sort,sort1K.data,0,1,1,1,1,1,1024,2000,2000,0.00007655,0,0,0.000106096,0,0,0,0.000374949,0,0.000623103
sort-unstable,sort1K.data,0,1,1,1,1,1,1024,2000,2000,0.000078188,0,0,0.000099887,0,0,0,0.00004791,0,0.000278128
radix-sort,sort1K.data,0,2,1,1,1,1,1024,2000,2000,0.000078731,0,0,0.000104947,0,0,0,0.000383851,0,0.000632085
sort-unstable,sort1K.data,0,2,1,1,1,1,1024,2000,2000,0.000076931,0,0,0.00010167,0,0,0,0.000048859,0,0.000277941
radix-sort,sort1K.data,0,3,1,1,1,1,1024,2000,2000,0.000077464,0,0,0.000101387,0,0,0,0.000401593,0,0.000641529
sort-unstable,sort1K.data,0,3,1,1,1,1,1024,2000,2000,0.000079951,0,0,0.000118237,0,0,0,0.00004751,0,0.000300132
radix-sort,sort64K.data,39,0,1,1,1,1,65536,2000,2000,0.003511874,0,0,0.001610314,0,0,0,0.013497925,0,0.01911107
sort-unstable,sort64K.data,39,0,1,1,1,1,65536,2000,2000,0.00422356,0,0,0.002430477,0,0,0,0.004659076,0,0.011872467
radix-sort,sort64K.data,39,1,1,1,1,1,65536,2000,2000,0.003890921,0,0,0.001584372,0,0,0,0.013589258,0,0.019630965
sort-unstable,sort64K.data,39,1,1,1,1,1,65536,2000,2000,0.003641139,0,0,0.002260836,0,0,0,0.004684139,0,0.011132142
radix-sort,sort64K.data,39,2,1,1,1,1,65536,2000,2000,0.003706448,0,0,0.001774787,0,0,0,0.016015308,0,0.022051026
sort-unstable,sort64K.data,39,2,1,1,1,1,65536,2000,2000,0.003830037,0,0,0.002230811,0,0,0,0.004669848,0,0.011216459
radix-sort,sort64K.data,39,3,1,1,1,1,65536,2000,2000,0.003741642,0,0,0.001561624,0,0,0,0.013091819,0,0.018849182
sort-unstable,sort64K.data,39,3,1,1,1,1,65536,2000,2000,0.003706475,0,0,0.002302986,0,0,0,0.004593107,0,0.011112275
radix-sort,sort4K.data,13,0,1,1,1,1,4096,2000,2000,0.000318818,0,0,0.000192275,0,0,0,0.001385201,0,0.002007068
sort-unstable,sort4K.data,13,0,1,1,1,1,4096,2000,2000,0.000291668,0,0,0.000219313,0,0,0,0.000211796,0,0.000822454
radix-sort,sort4K.data,13,1,1,1,1,1,4096,2000,2000,0.000294422,0,0,0.000175516,0,0,0,0.00100611,0,0.001559742
sort-unstable,sort4K.data,13,1,1,1,1,1,4096,2000,2000,0.000241337,0,0,0.00021073,0,0,0,0.00022764,0,0.000769287
radix-sort,sort4K.data,13,2,1,1,1,1,4096,2000,2000,0.0002426,0,0,0.000177429,0,0,0,0.001071192,0,0.001580019
sort-unstable,sort4K.data,13,2,1,1,1,1,4096,2000,2000,0.00024575,0,0,0.000222258,0,0,0,0.000210786,0,0.000777971
radix-sort,sort4K.data,13,3,1,1,1,1,4096,2000,2000,0.000245653,0,0,0.000150607,0,0,0,0.000998825,0,0.001483636
sort-unstable,sort4K.data,13,3,1,1,1,1,4096,2000,2000,0.000246381,0,0,0.000229019,0,0,0,0.000210099,0,0.000778985
radix-sort,sort256K.data,52,0,1,1,1,1,262144,2000,2000,0.008726527,0,0,0.009476641,0,0,0,0.138562391,0,0.156998121
sort-unstable,sort256K.data,52,0,1,1,1,1,262144,2000,2000,0.009708045,0,0,0.009547185,0,0,0,0.024241848,0,0.043749304
radix-sort,sort256K.data,52,1,1,1,1,1,262144,2000,2000,0.008649105,0,0,0.009423838,0,0,0,0.136702705,0,0.155014825
sort-unstable,sort256K.data,52,1,1,1,1,1,262144,2000,2000,0.008658351,0,0,0.009650471,0,0,0,0.024119453,0,0.04266925
radix-sort,sort256K.data,52,2,1,1,1,1,262144,2000,2000,0.009162681,0,0,0.009499565,0,0,0,0.138820689,0,0.157883766
sort-unstable,sort256K.data,52,2,1,1,1,1,262144,2000,2000,0.008732259,0,0,0.009550368,0,0,0,0.024534885,0,0.043064313
