implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
mpi-multi,sort16K.data,27,0,1,2,2,8,16384,2006,1003,0.002149622,0.002157189,0.010941555,0.004417143,0.001221482,0.00003571,0.015064,0.002581,0.007012,0.019975516
mpi-multi,sort16K.data,27,1,1,2,2,8,16384,2006,1003,0.001391226,0.001787059,0.011427747,0.00356648,0.001300912,0.00005471,0.0092,0.002602,0.006161,0.018079449
mpi-multi,sort16K.data,27,2,1,2,2,8,16384,2006,1003,0.001904146,0.001846382,0.010046072,0.003111906,0.001209024,0.000056943,0.00956,0.002158,0.00558,0.017387387
mpi-multi,sort16K.data,27,3,1,2,2,8,16384,2006,1003,0.00209213,0.002133085,0.010797892,0.003289157,0.001195738,0.00006192,0.010012,0.002473,0.005799,0.018380922
mpi-multi,sort1K.data,1,0,1,2,2,8,1024,2000,1000,0.000202324,0.000833236,0.006936062,0.003127559,0.000234387,0.000017491,0.00665,0.003039,0.003919,0.012298784
mpi-multi,sort1K.data,1,1,1,2,2,8,1024,2000,1000,0.000234498,0.000788791,0.006476438,0.002665876,0.000172852,0.000004698,0.004524,0.002846,0.00337,0.010877689
mpi-multi,sort1K.data,1,2,1,2,2,8,1024,2000,1000,0.000232648,0.000806319,0.00644981,0.002509387,0.00018621,0.000005018,0.004356,0.002834,0.003278,0.010590575
mpi-multi,sort1K.data,1,3,1,2,2,8,1024,2000,1000,0.000161827,0.000810084,0.006595634,0.002731527,0.000184624,0.000004675,0.004213,0.002899,0.003507,0.010759146
mpi-multi,sort64K.data,40,0,1,2,2,8,65536,2026,1013,0.001799839,0.093816579,0.021671206,0.005020649,0.001646387,0.00036592,0.125293,0.00223,0.009254,0.118204826
mpi-multi,sort64K.data,40,1,1,2,2,8,65536,2026,1013,0.003092875,0.096146345,0.025836288,0.0046229,0.001883336,0.000383918,0.111046,0.003341,0.009161,0.123662427
mpi-multi,sort64K.data,40,2,1,2,2,8,65536,2026,1013,0.001964635,0.095873956,0.021932155,0.005257029,0.001896891,0.000374713,0.109459,0.002218,0.009881,0.12166407
mpi-multi,sort64K.data,40,3,1,2,2,8,65536,2026,1013,0.001933385,0.094833044,0.022528243,0.005793373,0.001746144,0.000373809,0.108425,0.002556,0.010266,0.121363775
mpi-multi,sort4K.data,15,0,1,4,4,16,4096,4000,1000,0.000361245,0.029406154,0.002795924,0.001746279,0.000280173,0.00000692,0.034966,0.000583,0.003065,0.035663139
mpi-multi,sort4K.data,15,1,1,4,4,16,4096,4000,1000,0.000469279,0.029744198,0.002801974,0.002834564,0.000311924,0.00000715,0.032142,0.000688,0.004475,0.037970402
mpi-multi,sort4K.data,15,2,1,4,4,16,4096,4000,1000,0.000345524,0.029750648,0.002829264,0.00247152,0.0002774,0.000006761,0.032227,0.000743,0.004107,0.037442671
mpi-multi,sort4K.data,15,3,1,4,4,16,4096,4000,1000,0.000443388,0.0302855,0.002772132,0.003392561,0.000297869,0.00000666,0.032736,0.000631,0.004827,0.03864615
mpi-multi,sort1K.data,2,0,1,4,4,16,1024,4000,1000,0.000267318,0.086808262,0.003648332,0.002621656,0.000270017,0.000005385,0.0926,0.001263,0.004266,0.096903239
mpi-multi,sort1K.data,2,1,1,4,4,16,1024,4000,1000,0.000245714,0.086747855,0.003664646,0.003448555,0.000370788,0.000011744,0.090103,0.001297,0.004803,0.096921508
mpi-multi,sort1K.data,2,2,1,4,4,16,1024,4000,1000,0.000162744,0.08670312,0.003592302,0.003576468,0.000439276,0.000020923,0.089846,0.001097,0.005099,0.096947661
mpi-multi,sort1K.data,2,3,1,4,4,16,1024,4000,1000,0.000219718,0.086766892,0.003950781,0.002803157,0.000278775,0.000006209,0.090983,0.001169,0.004219,0.097228555
mpi-multi,sort16K.data,28,0,1,4,4,16,16384,4004,1001,0.001257559,0.001298442,0.00409043,0.002949458,0.001022132,0.000008921,0.00809,0.000581,0.005572,0.0122075
mpi-multi,sort16K.data,28,1,1,4,4,16,16384,4004,1001,0.001605773,0.001321562,0.005533947,0.002922929,0.001080959,0.000008771,0.006281,0.001071,0.005707,0.013559423
mpi-multi,sort16K.data,28,2,1,4,4,16,16384,4004,1001,0.001387615,0.001462377,0.004763488,0.003322971,0.001055764,0.000008191,0.006348,0.000914,0.005999,0.013460729
mpi-multi,sort16K.data,28,3,1,4,4,16,16384,4004,1001,0.001339562,0.001206288,0.00459463,0.002028793,0.001276829,0.00001398,0.005746,0.000772,0.004649,0.011484861
mpi-multi,sort64K.data,42,0,1,8,8,32,65536,8008,1001,0.001752123,0.030896329,0.007990303,0.001773646,0.001864549,0.000009681,0.054033,0.000429,0.005301,0.043694372
mpi-multi,sort64K.data,42,1,1,8,8,32,65536,8008,1001,0.001771494,0.030847847,0.007647838,0.002254363,0.001897262,0.000010251,0.037554,0.000195,0.006013,0.04434455
mpi-multi,sort64K.data,42,2,1,8,8,32,65536,8008,1001,0.001525554,0.031144718,0.007786124,0.001576792,0.001941256,0.000010591,0.037491,0.000172,0.00523,0.043488974
mpi-multi,sort64K.data,42,3,1,8,8,32,65536,8008,1001,0.001492212,0.030758014,0.007319116,0.001729893,0.001930809,0.000009871,0.036733,0.000201,0.005247,0.042531724
radix-sort,sort1K.data,0,0,1,1,1,1,1024,2000,2000,0.000077386,0,0,0.000108919,0,0,0,0.000425254,0,0.000692431
sort-unstable,sort1K.data,0,0,1,1,1,1,1024,2000,2000,0.000083466,0,0,0.000105089,0,0,0,0.000067389,0,0.000311781
radix-sort,sort1K.data,0,1,1,1,1,1,1024,2000,2000,0.000081178,0,0,0.000108252,0,0,0,0.000436719,0,0.000686761
sort-unstable,sort1K.data,0,1,1,1,1,1,1024,2000,2000,0.000074596,0,0,0.000097497,0,0,0,0.000047879,0,0.00028826
radix-sort,sort1K.data,0,2,1,1,1,1,1024,2000,2000,0.000095779,0,0,0.00010575,0,0,0,0.00039639,0,0.000666098
sort-unstable,sort1K.data,0,2,1,1,1,1,1024,2000,2000,0.000082325,0,0,0.00010386,0,0,0,0.000046773,0,0.000290572
radix-sort,sort1K.data,0,3,1,1,1,1,1024,2000,2000,0.000077351,0,0,0.000104687,0,0,0,0.000312821,0,0.00055528
sort-unstable,sort1K.data,0,3,1,1,1,1,1024,2000,2000,0.000079308,0,0,0.000105814,0,0,0,0.000047313,0,0.000284405
mpi-multi,sort1K.data,3,0,1,8,8,32,1024,8000,1000,0.000419877,0.03736042,0.00298824,0.005730474,0.000634244,0.000017601,0.042092,0.000505,0.007234,0.049570074
mpi-multi,sort1K.data,3,1,1,8,8,32,1024,8000,1000,0.000374335,0.036024826,0.00247896,0.005504283,0.000840474,0.000019741,0.038906,0.000521,0.007121,0.047641355
mpi-multi,sort1K.data,3,2,1,8,8,32,1024,8000,1000,0.000466208,0.03562633,0.00247938,0.005784325,0.000609072,0.000018481,0.038797,0.000492,0.00713,0.047635815
mpi-multi,sort1K.data,3,3,1,8,8,32,1024,8000,1000,0.000323653,0.035412231,0.002700528,0.005863093,0.00074633,0.000020701,0.038476,0.000553,0.007285,0.04752285
radix-sort,sort4K.data,13,0,1,1,1,1,4096,2000,2000,0.000376425,0,0,0.000273019,0,0,0,0.001410276,0,0.002237423
sort-unstable,sort4K.data,13,0,1,1,1,1,4096,2000,2000,0.000267385,0,0,0.00023266,0,0,0,0.000210361,0,0.000805794
radix-sort,sort4K.data,13,1,1,1,1,1,4096,2000,2000,0.000248491,0,0,0.000205297,0,0,0,0.000830049,0,0.001373616
sort-unstable,sort4K.data,13,1,1,1,1,1,4096,2000,2000,0.000243557,0,0,0.000210775,0,0,0,0.000209633,0,0.000778178
radix-sort,sort4K.data,13,2,1,1,1,1,4096,2000,2000,0.000275542,0,0,0.000171616,0,0,0,0.000865095,0,0.001412769
sort-unstable,sort4K.data,13,2,1,1,1,1,4096,2000,2000,0.000269869,0,0,0.000260353,0,0,0,0.000211195,0,0.000844457
radix-sort,sort4K.data,13,3,1,1,1,1,4096,2000,2000,0.000256001,0,0,0.000168387,0,0,0,0.000814073,0,0.001338995
sort-unstable,sort4K.data,13,3,1,1,1,1,4096,2000,2000,0.000267987,0,0,0.000215914,0,0,0,0.000213197,0,0.000792755
