name,slurm_node,vectorization,randomness,run_id,nodes,cpus,tasks_per_node,width,height,rounds,size,threads,core_duration,core_duration_per_cell,top_bottom_duration,top_bottom_duration_per_cell,calculation_duration,calculation_duration_per_cell,communication_duration,total_duration,render_duration,images
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,1,22.745999606,0.22750549715943189,0.235632137,11.78160685,22.981631743,0.22981631743,0.00020126,22.981833003,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,1,33.136434207,0.3314306281956391,0.245604842,12.2802421,33.382039049,0.33382039049,0.000239378,33.382278427,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,1,417.706180855,4.177897388027605,0.239964055,11.99820275,417.94614491,4.1794614491,0.00022835,417.94637326,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,2,11.384989392,0.11387266845369073,0.234151664,11.7075832,11.619141056,0.11619141056,0.000296129,11.619437185,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,2,16.619809281,0.16623133907781554,0.241516943,12.07584715,16.861326224,0.16861326223999998,0.000290843,16.861617067,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,2,213.436987164,2.1347968310062013,0.235239076,11.7619538,213.67222624,2.1367222624,0.00029209,213.67251833,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,4,6.432147112,0.06433433798759752,0.229805183,11.49025915,6.661952295,0.06661952295,0.000228755,6.66218105,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,4,8.584956101,0.08586673435687137,0.228985288,11.4492644,8.813941389,0.08813941389,0.000259417,8.814200806,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,4,109.231703815,1.0925355452590517,0.224027594,11.2013797,109.455731409,1.09455731409,0.000354727,109.456086136,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,8,3.599364801,0.036000848179635926,0.207614384,10.3807192,3.806979185,0.03806979185,0.00018728,3.807166465,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,8,4.440365333,0.044412535837167436,0.127133964,6.356698199999999,4.567499297,0.04567499297,0.000140262,4.567639559,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,8,57.351266879,0.5736273942688538,0.225225489,11.26127445,57.576492368,0.57576492368,0.000236045,57.576728413,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,16,2.915856479,0.029164397669533906,0.213275454,10.6637727,3.129131933,0.03129131933,0.000196151,3.129328084,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,16,2.852339192,0.02852909773954791,0.207645394,10.3822697,3.059984586,0.03059984586,0.000237547,3.060222133,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,16,30.325740292,0.3033180665333067,0.181836058,9.0918029,30.50757635,0.3050757635,0.000200175,30.507776525,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,24,2.906100974,0.029066823104620925,0.19202593,9.6012965,3.098126904,0.03098126904,0.000226077,3.098352981,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,24,2.885384766,0.028859619583916783,0.18674893,9.3374465,3.072133696,0.03072133696,0.000246051,3.072379747,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,24,20.487182283,0.20491280539107823,0.130883517,6.54417585,20.6180658,0.206180658,0.000232665,20.618298465,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,32,2.890220084,0.028907982436487296,0.131452174,6.5726087,3.021672258,0.03021672258,0.000214807,3.021887065,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,32,2.8851326630000003,0.02885709804960993,0.193577207,9.67886035,3.07870987,0.0307870987,0.000259774,3.078969644,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,32,15.578129639,0.15581245888177636,0.233901909,11.69509545,15.812031548,0.15812031548,0.000179617,15.812211165,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,40,3.033247089,0.030338538597719542,0.173332914,8.6666457,3.206580003,0.03206580003,0.000207509,3.206787512,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,40,2.951035605,0.029516259301860373,0.209533166,10.4766583,3.160568771,0.03160568771,0.000317462,3.160886233,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,40,12.640504867,0.1264303347369474,0.165912439,8.29562195,12.806417306,0.12806417306,0.000292144,12.80670945,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,48,2.8227158279999998,0.028232804840968188,0.200434652,10.0217326,3.02315048,0.0302315048,0.000271487,3.023421967,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,48,2.910541975,0.02911124199839968,0.13961529,6.9807645,3.050157265,0.03050157265,0.000299656,3.050456921,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,48,10.810740157,0.1081290273754751,0.139477115,6.97385575,10.950217272,0.10950217272,0.000423667,10.950640939,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,96,3.108691909,0.031093137717543507,0.156159207,7.80796035,3.264851116,0.03264851116,0.000677731,3.265528847,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,96,3.053191497,0.030538022574514902,0.139292327,6.96461635,3.192483824,0.03192483824,0.000747014,3.193230838,0,0
